Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse,Log_Odds_Estresse,Score_Robustez
SOCIETE GENERALE - PRUDENCIAL,2019-12-01,2179418.0,128465.0,489999.0,0.4132,0.2249,171.91,1.767530865000011,29.096666666666664,0.0143329465660644,0,3642351.0,88264.0,482285.0,0.2164,0.091,169.09,0.3894135824999978,28.71666666666667,0.028156230060797285,-3.541426414483801,3.541426414483801
SOCIETE GENERALE - PRUDENCIAL,2020-03-01,3495891.0,119985.0,447332.0,0.3118,0.1631,168.09,0.5308473674999981,28.24,0.0089112929320026,0,3388190.0,234295.0,547699.0,0.2589,0.165,169.51,1.507011320000018,30.386666666666667,0.03663894406275501,-3.269316549774932,3.269316549774932
SOCIETE GENERALE - PRUDENCIAL,2020-06-01,4369029.0,110141.0,447332.0,0.2648,0.1478,153.27,-0.4306129372000034,24.44333333333333,0.0071752031659241,0,2754210.0,225405.0,547699.0,0.3195,0.1996,170.58,0.710811074100004,30.69666666666667,0.04452040795036919,-3.0662657154867143,3.0662657154867143
SOCIETE GENERALE - PRUDENCIAL,2020-09-01,3755319.0,24427.0,479452.0,0.3208,0.1492,165.34,1.2447095295999857,21.71666666666667,0.0076712509157729,0,1841813.0,685800.0,489999.0,0.3422,0.2004,170.5,0.2600889164000142,30.59,0.06794620158422508,-2.6186742978729036,2.6186742978729036
SOCIETE GENERALE - PRUDENCIAL,2020-12-01,3263585.0,120082.0,479452.0,0.3555,0.1502,171.47,3.131382328999988,20.72,0.0085401190415158,0,2179418.0,128465.0,489999.0,0.4132,0.2249,171.91,1.767530865000011,29.096666666666664,0.049098266183438447,-2.9635870057608575,2.9635870057608575
SOCIETE GENERALE - PRUDENCIAL,2021-03-01,3385601.0,151796.0,496688.0,0.3518,0.1613,173.12,2.052492994999988,22.403333333333336,0.0076353391600118,0,3495891.0,119985.0,447332.0,0.3118,0.1631,168.09,0.5308473674999981,28.24,0.03177411115341558,-3.4168135728606517,3.4168135728606517
SOCIETE GENERALE - PRUDENCIAL,2021-06-01,3198497.0,179702.0,496688.0,0.3747999999999999,0.2016,172.06,1.6786286369000036,21.46333333333333,0.0089023295827751,0,4369029.0,110141.0,447332.0,0.2648,0.1478,153.27,-0.4306129372000034,24.44333333333333,0.036697704322153545,-3.26765307242944,3.26765307242944
SOCIETE GENERALE - PRUDENCIAL,2021-09-01,3183027.0,99842.0,530705.0,0.3763,0.1818,172.27,3.0196768831999954,21.08666666666667,0.009043333284599,0,3755319.0,24427.0,479452.0,0.3208,0.1492,165.34,1.2447095295999857,21.71666666666667,0.03015091182354105,-3.470925314677907,3.470925314677907
SOCIETE GENERALE - PRUDENCIAL,2021-12-01,3041669.0,263045.0,530705.0,0.3645,0.1852,174.3,2.958021687500012,22.62,0.0117857208130025,0,3263585.0,120082.0,479452.0,0.3555,0.1502,171.47,3.131382328999988,20.72,0.030648614962673796,-3.454039700176957,3.454039700176957
SOCIETE GENERALE - PRUDENCIAL,2022-03-01,3552593.0,74079.0,564838.0,0.3543,0.1807,175.72,3.2006523548000043,24.72,0.0110399581206686,0,3385601.0,151796.0,496688.0,0.3518,0.1613,173.12,2.052492994999988,22.403333333333336,0.02830382190242156,-3.5360463366418866,3.5360463366418866
SOCIETE GENERALE - PRUDENCIAL,2022-06-01,4054272.0,1111798.0,564838.0,0.2559,0.1873,177.81,2.215266379399994,25.546666666666667,0.0095208896534108,0,3198497.0,179702.0,496688.0,0.3747999999999999,0.2016,172.06,1.6786286369000036,21.46333333333333,0.03299152450376344,-3.3779565649908108,3.3779565649908108
SOCIETE GENERALE - PRUDENCIAL,2022-09-01,3111777.0,1016902.0,615102.0,0.3112,0.1996,179.54,-1.3245430992000151,27.44,0.0190408387030183,0,3183027.0,99842.0,530705.0,0.3763,0.1818,172.27,3.0196768831999954,21.08666666666667,0.032359891645358525,-3.3979404855876796,3.3979404855876796
SOCIETE GENERALE - PRUDENCIAL,2022-12-01,2421816.0,940001.0,615102.0,0.3732999999999999,0.2022,180.33,1.6286339977999995,29.036666666666665,0.0227720494242778,0,3041669.0,263045.0,530705.0,0.3645,0.1852,174.3,2.958021687500012,22.62,0.034070394005406845,-3.344662163828685,3.344662163828685
SOCIETE GENERALE - PRUDENCIAL,2023-03-01,2032092.0,1398310.0,725537.0,0.3634,0.2330999999999999,182.74,2.094210609200031,30.19,0.0254394758829355,0,3552593.0,74079.0,564838.0,0.3543,0.1807,175.72,3.2006523548000043,24.72,0.025923493563474027,-3.626340204420048,3.626340204420048
SOCIETE GENERALE - PRUDENCIAL,2023-06-01,2532029.0,1197618.0,725537.0,0.3247,0.2371,184.28,0.760729877599986,32.02333333333333,0.0224645282712329,0,4054272.0,1111798.0,564838.0,0.2559,0.1873,177.81,2.215266379399994,25.546666666666667,0.029120112036673862,-3.5067736906917353,3.5067736906917353
SOCIETE GENERALE - PRUDENCIAL,2023-09-01,2033773.0,44647.0,686304.0,0.4778,0.2326,184.44,0.6111867176000096,31.51333333333333,0.0307485695896343,0,3111777.0,1016902.0,615102.0,0.3112,0.1996,179.54,-1.3245430992000151,27.44,0.036030021816688636,-3.286707620991609,3.286707620991609
SOCIETE GENERALE - PRUDENCIAL,2023-12-01,2031831.0,71508.0,686304.0,0.4284,0.2563,185.03,1.083587763199989,30.41333333333333,0.0263917677938853,0,2421816.0,940001.0,615102.0,0.3732999999999999,0.2022,180.33,1.6286339977999995,29.036666666666665,0.044970403889312255,-3.0557377487491855,3.0557377487491855
SOCIETE GENERALE - PRUDENCIAL,2024-03-01,2231560.0,79841.0,577032.0,0.4411,0.225,186.65,1.415491577599992,29.896666666666665,0.0183436637579645,0,2032092.0,1398310.0,725537.0,0.3634,0.2330999999999999,182.74,2.094210609200031,30.19,0.06156595200147423,-2.7241035893403325,2.7241035893403325
SOCIETE GENERALE - PRUDENCIAL,2024-06-01,2297175.0,115121.0,577032.0,0.3995,0.191,189.49,1.053515670799987,29.07333333333333,0.0271423744721334,0,2532029.0,1197618.0,725537.0,0.3247,0.2371,184.28,0.760729877599986,32.02333333333333,0.046772157860219876,-3.0145658456565467,3.0145658456565467
SOCIETE GENERALE - PRUDENCIAL,2024-09-01,2490346.0,157811.0,531617.0,0.4064,0.1593,190.99,0.8015076655999875,28.473333333333333,0.0249217955505621,0,2033773.0,44647.0,686304.0,0.4778,0.2326,184.44,0.6111867176000096,31.51333333333333,0.03453038598224807,-3.3307749402084785,3.3307749402084785
SOCIETE GENERALE - PRUDENCIAL,2024-12-01,2819360.0,97729.0,531617.0,0.3908,0.1599,191.11,1.47713535680003,27.96,0.0200864903976167,0,2031831.0,71508.0,686304.0,0.4284,0.2563,185.03,1.083587763199989,30.41333333333333,0.037280148469226004,-3.2513014850043347,3.2513014850043347
SOCOPA - PRUDENCIAL,2017-03-01,729590.0,9833.0,335089.0,0.1741,0.1022,164.34,0.9630321349999972,41.17333333333333,0.0237283511242957,0,836833.0,29358.0,253429.0,0.1469,0.0823,163.26,2.6208101489999747,35.07,0.09548504296115515,-2.248429224047007,2.248429224047007
SOCOPA - PRUDENCIAL,2017-06-01,743291.0,8780.0,335089.0,0.1808,0.0755,165.65,0.2193980018000196,36.63666666666666,0.0230214449696347,0,877670.0,13636.0,253429.0,0.1429,0.0865,163.72,1.7496396530000125,38.303333333333335,0.09247096642873913,-2.283830839850628,2.283830839850628
SOCOPA - PRUDENCIAL,2017-09-01,790126.0,16957.0,284844.0,0.1801,0.078,166.12,0.5911447296000016,36.16333333333333,0.0199218858202337,0,867484.0,10875.0,185958.0,0.1592,0.0948,162.92,1.043057830399996,39.71333333333333,0.09153559282038787,-2.2950278203949708,2.2950278203949708
SOCOPA - PRUDENCIAL,2017-12-01,836048.0,13956.0,284844.0,0.185,0.0935,167.13,1.144261174399985,33.526666666666664,0.0199536910204532,0,713123.0,32504.0,185958.0,0.1873,0.0921,162.73,0.7417894039999817,40.38,0.094944930894063,-2.2546987430751435,2.2546987430751435
SOCOPA - PRUDENCIAL,2018-03-01,892353.0,36310.0,443466.0,0.1611,0.1193,167.98,0.7014778351999817,33.15,0.0336544675108382,0,729590.0,9833.0,335089.0,0.1741,0.1022,164.34,0.9630321349999972,41.17333333333333,0.09801809163817202,-2.219442392538528,2.219442392538528
