Data;CNPJ;NOME_INSTITUICAO;NOME_CONGL;A;AA;B;C;D;E;F;G;H;S1;S2;S3;Bad_Debt;Total_Portfolio;NPL
01/01/2016;7631026;GOLCRED S/A - CFI;GOLCRED - PRUDENCIAL;13816392,76;0,0;580022,25;531752,68;315338,33;352663,19;389581,48;280874,15;1886043,32;0,0;0,0;0,0;2909162,14;18152668,16;0,16026085610987117
01/01/2016;7652226;LECCA CFI S.A.;LECCA - PRUDENCIAL;36238015,07;0,0;383410,82;851321,71;1660042,58;160740,18;158172,2;145357,15;697080,26;0,0;0,0;0,0;1161349,79;40294139,97;0,0288218036385602
01/01/2016;7656500;BCO KDB BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL;14347876,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;146672399,13;0,0;0,0;0,0;146672399,13;161020275,57;0,9108939766174815
01/01/2016;7679404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL;50997837,81;0,0;25267321,85;62501121,14;5583431,24;3105541,7;3300561,78;1550442,01;17761494,08;0,0;0,0;0,0;25718039,57;170067751,61;0,15122231773238645
01/01/2016;10371492;BCO YAMAHA MOTOR S.A.;YAMAHA MOTOR - PRUDENCIAL;5570536,67;12787,37;263424253,77;189105656,75;13341585,58;7214103,45;5712445,64;4804921,83;24918530,38;0,0;0,0;0,0;42650001,3;514104821,44;0,08295973801711871
01/01/2016;10664513;BCO AGIBANK S.A.;BCO GERADOR S.A. - PRUDENCIAL;43377026,42;0,0;1653761,4;2924364,41;5642043,09;3148205,67;5370414,4;3599945,18;24155251,31;0,0;0,0;0,0;36273816,56;89871011,88000001;0,4036208762001534
01/01/2016;11417016;SCANIA BCO S.A.;SCANIA - PRUDENCIAL;573254865,1;97227661,31;833997883,88;136729256,4;22274881,82;10381230,34;4716235,64;2679995,91;20985822,81;0,0;0,0;0,0;38763284,7;1702247833,21;0,02277182202482376
01/01/2016;11476673;BANCO RANDON S.A.;RANDON - PRUDENCIAL;268725441,85;9282743,32;57013882,07;32951315,91;7290926,05;4573503,28;0,0;38728,12;3637460,45;0,0;0,0;0,0;8249691,850000001;383514001,05;0,0215107970697645
01/01/2016;11760553;GAZINCRED S.A. SCFI;GAZIN - PRUDENCIAL;33573200,42;0,0;1945095,72;950630,85;677599,02;188406,03;143059,94;125512,46;448951,07;0,0;0,0;0,0;905929,5;38052455,510000005;0,02380738609002318
01/01/2016;13009717;BCO DO EST. DE SE S.A.;BCO DO EST. DE SE S.A. - PRUDENCIAL;756798479,45;524885112,9;408858445,43;158962292,08;51933742,24;48968721,75;10971870,8;9501344,46;60614166,3;0,0;0,0;0,0;130056103,30999999;2031494175,4099998;0,06401992429230166
