Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,NPL_Growth_QoQ,NPL_Growth_YoY,NPL_Volatility_4Q,NPL_Volatility_8Q,NPL_Delta,NPL_Acceleration,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,Spread_lag4,NPL_Growth_QoQ_lag4,NPL_Growth_YoY_lag4,NPL_Volatility_4Q_lag4,NPL_Volatility_8Q_lag4,NPL_Delta_lag4,NPL_Acceleration_lag4,RWA_Operacional_lag4_x_Alavancagem_lag4,Prob_Estresse_Final,Log_Odds_Estresse_Final,Score_Robustez_Final
SOFISA - PRUDENCIAL,2021-06-01,4904281.0,38539.0,436552.0,0.1533,0.1028999999999999,172.06,1.6786286369000036,21.46333333333333,0.0115673150848727,0,0.13164912104344606,-0.5246885541242969,0.004377590072056979,0.005447760481405851,0.0013456705222834008,0.08048805508942203,3951208.0,52793.0,380164.0,0.1632999999999999,0.1231,153.27,24.44333333333333,0.17220758842866069,0.7828095634153083,0.003441946248583961,0.003466956490316122,0.0035752140592719,0.12758015988682403,46798.1884,0.07331516013081417,-2.5368461187271034,2.5368461187271034
SOFISA - PRUDENCIAL,2021-09-01,5325166.0,13079.0,487930.0,0.1467,0.0932,172.27,3.0196768831999954,21.08666666666667,0.0147892627583473,0,0.2785389392295661,-0.22650150715158912,0.0022795300010722322,0.005478250386386901,0.0032219476734746,0.14688981818612,4249113.0,67766.0,398989.0,0.1604,0.109,165.34,21.71666666666667,-0.2143434054076564,0.19832519645595292,0.002308527414931313,0.0034868455447585106,-0.0052163223255586,-0.3865509938363171,43489.801,0.03625799300014014,-3.2801637777516652,3.2801637777516652
SOFISA - PRUDENCIAL,2021-12-01,5714983.0,61744.0,487930.0,0.125,0.0898,174.3,2.958021687500012,22.62,0.0142594816913855,0,-0.03582200652042533,0.46639925531432547,0.002177297056026646,0.0053119625282283854,-0.0005297810669618007,-0.3143609457499914,4225953.0,15130.0,398989.0,0.168,0.0956,171.47,20.72,-0.49141393649017207,-0.5107135725502118,0.00623361238936591,0.004568641167144507,-0.0093958164069639,-0.27707053108251567,38143.3484,0.02752468499919454,-3.56476145386838,3.56476145386838
SOFISA - PRUDENCIAL,2022-03-01,5405568.0,24220.0,463806.0,0.1377,0.0911999999999999,175.72,3.2006523548000043,24.72,0.0160787032826887,0,0.12757978380113455,0.5730055163076142,0.001898118001297854,0.004904024083333496,0.0018192215913031985,0.16340179032155988,4481086.0,39978.0,436552.0,0.16,0.1013,173.12,22.403333333333336,0.05116106595402403,-0.5076533234888561,0.007116042049083607,0.0052265995654848805,0.0004974977180595992,0.5425750024441961,44222.7176,0.025527594637895584,-3.6421361922025572,3.6421361922025572
SOFISA - PRUDENCIAL,2022-06-01,6200390.0,19323.0,463806.0,0.1264,0.0853999999999999,177.81,2.215266379399994,25.546666666666667,0.0168739423186273,0,0.04945915239289267,0.4587604984232172,0.0011925669236187706,0.0033361948051584757,0.0007952390359386025,-0.07812063140824188,4904281.0,38539.0,436552.0,0.1533,0.1028999999999999,172.06,21.46333333333333,0.13164912104344606,-0.5246885541242969,0.004377590072056979,0.005447760481405851,0.0013456705222834008,0.08048805508942203,44921.200799999955,0.0227577559898046,-3.7598285582728486,3.7598285582728486
SOFISA - PRUDENCIAL,2022-09-01,6452998.0,64527.0,465523.0,0.1281,0.0911,179.54,-1.3245430992000151,27.44,0.0173642959788548,0,0.029059816074290756,0.17411504972106262,0.0013635261807212675,0.002997832867498948,0.0004903536602275001,-0.020399336318601913,5325166.0,13079.0,487930.0,0.1467,0.0932,172.27,21.08666666666667,0.2785389392295661,-0.22650150715158912,0.0022795300010722322,0.005478250386386901,0.0032219476734746,0.14688981818612,45475.076,0.02105182659589281,-3.839491372415774,3.839491372415774
SOFISA - PRUDENCIAL,2022-12-01,6953856.0,41326.0,465523.0,0.1247,0.0861,180.33,1.6286339977999995,29.036666666666665,0.0189959624242553,0,0.09396674920696135,0.3321635972036223,0.0012315744000263233,0.002962595878387449,0.001631666445400498,0.0649069331326706,5714983.0,61744.0,487930.0,0.125,0.0898,174.3,22.62,-0.03582200652042533,0.46639925531432547,0.002177297056026646,0.0053119625282283854,-0.0005297810669618007,-0.3143609457499914,43816.114,0.01932280774329745,-3.926957199080955,3.926957199080955
SOFISA - PRUDENCIAL,2023-03-01,6995396.0,46645.0,491751.0,0.127,0.0883999999999999,182.74,2.094210609200031,30.19,0.0208554442198647,0,0.09788826457327016,0.29708496096939174,0.0018005530957712836,0.0028873435816000512,0.001859481795609401,0.003921515366308803,5405568.0,24220.0,463806.0,0.1377,0.0911999999999999,175.72,24.72,0.12757978380113455,0.5730055163076142,0.001898118001297854,0.004904024083333496,0.0018192215913031985,0.16340179032155988,42299.107199999955,0.020545170355933458,-3.8643702265500433,3.8643702265500433
SOFISA - PRUDENCIAL,2023-06-01,7113144.0,74479.0,491751.0,0.1276,0.0847,184.28,0.760729877599986,32.02333333333333,0.0236064088288986,0,0.13190630609601794,0.3989859857965301,0.0026785586786690747,0.0031638159970670547,0.0027509646090339013,0.03401804152274779,6200390.0,19323.0,463806.0,0.1264,0.0853999999999999,177.81,25.546666666666667,0.04945915239289267,0.4587604984232172,0.0011925669236187706,0.0033361948051584757,0.0007952390359386025,-0.07812063140824188,39609.03239999996,0.015698446826027116,-4.138370527501259,4.138370527501259
SOFISA - PRUDENCIAL,2023-09-01,7095761.0,18171.0,471368.0,0.1311999999999999,0.0816,184.44,0.6111867176000096,31.51333333333333,0.037031150625518,0,0.5686905574635746,1.132603053450155,0.008162040586158612,0.007237286113931114,0.013424741796619396,0.4367842513675566,6452998.0,64527.0,465523.0,0.1281,0.0911,179.54,27.44,0.029059816074290756,0.17411504972106262,0.0013635261807212675,0.002997832867498948,0.0004903536602275001,-0.020399336318601913,42409.145300000004,0.014085010155025343,-4.24845901148174,4.24845901148174
