Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse_P90,Log_Odds_Estresse_P90,Score_Robustez_P90,Alerta_Estresse
OURINVEST - PRUDENCIAL,2018-09-01,490447.0,71442.0,409078.0,0.1123,0.1061,169.35,0.7208535743999933,28.546666666666667,0.0038558939281794,0,370789.0,25952.0,267104.0,0.1757999999999999,0.1344,166.12,0.5911447296000016,36.16333333333333,0.2334170135594151,-1.1891163476780715,1.1891163476780715,1
OURINVEST - PRUDENCIAL,2018-12-01,525596.0,85740.0,409078.0,0.1066,0.1011,169.09,0.3894135824999978,28.71666666666667,0.0102642361243564,0,412330.0,175083.0,267104.0,0.1356,0.1821,167.13,1.144261174399985,33.526666666666664,0.2270647960927101,-1.224959798929357,1.224959798929357,1
OURINVEST - PRUDENCIAL,2019-03-01,527776.0,29755.0,363880.0,0.1206,0.1076999999999999,169.51,1.507011320000018,30.386666666666667,0.0096286965946481,0,441717.0,69885.0,359374.0,0.1204,0.1205,167.98,0.7014778351999817,33.15,0.2303932096870229,-1.206092266071343,1.206092266071343,1
OURINVEST - PRUDENCIAL,2019-06-01,458490.0,61117.0,363880.0,0.1215,0.1065,170.58,0.710811074100004,30.69666666666667,0.0421960737889255,0,409755.0,63451.0,359374.0,0.1271,0.1175,167.89,1.8887030879999989,30.82333333333333,0.2283606070628508,-1.2175913439797874,1.2175913439797874,1
OURINVEST - PRUDENCIAL,2019-09-01,513256.0,93510.0,396233.0,0.1139,0.1186999999999999,170.5,0.2600889164000142,30.59,0.0359134102410181,0,490447.0,71442.0,409078.0,0.1123,0.1061,169.35,0.7208535743999933,28.546666666666667,0.2064989980167678,-1.34615924266021,1.34615924266021,1
OURINVEST - PRUDENCIAL,2019-12-01,542504.0,170402.0,396233.0,0.1023,0.1009,171.91,1.767530865000011,29.096666666666664,0.00579351694743,0,525596.0,85740.0,409078.0,0.1066,0.1011,169.09,0.3894135824999978,28.71666666666667,0.2031573451180962,-1.366676459784841,1.366676459784841,1
OURINVEST - PRUDENCIAL,2020-03-01,873547.0,419753.0,388041.0,0.0617,0.0598,168.09,0.5308473674999981,28.24,0.0073493417493258,0,527776.0,29755.0,363880.0,0.1206,0.1076999999999999,169.51,1.507011320000018,30.386666666666667,0.2162560407595528,-1.2876193049667597,1.2876193049667597,1
PAGSEGURO - PRUDENCIAL,2024-09-01,6187717.0,47542.0,11833463.0,0.3056,0.0,190.99,0.8015076655999875,28.473333333333333,0.0082198327395576,0,5959060.0,19079.0,11125653.0,0.3486,0.0,184.44,0.6111867176000096,31.51333333333333,0.7245857626346642,0.9673238473187658,-0.9673238473187658,1
PAGSEGURO - PRUDENCIAL,2024-12-01,6435334.0,50469.0,11833463.0,0.2838,0.0,191.11,1.47713535680003,27.96,0.0070519206427709,0,6111825.0,18446.0,11125653.0,0.3327,0.0,185.03,1.083587763199989,30.41333333333333,0.7170100783231961,0.9296786118265868,-0.9296786118265868,1
PAGSEGURO - PRUDENCIAL,2025-03-01,5371668.0,62039.0,9601364.0,0.3122,0.0,193.61,2.040339737600028,29.313333333333333,0.0112668694256209,0,7307837.0,17132.0,10997148.0,0.3053,0.0,186.65,1.415491577599992,29.896666666666665,0.6201498626486182,0.490184362974245,-0.490184362974245,1
