Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,Selic,Desemprego,NPL,NPL_Volatility_8Q,RWA_Total,RWA_Credito_share,RWA_Mercado_share,RWA_Operacional_share,log_RWA_Total,Estresse_Alto_P90,RWA_Credito_share_lag4,RWA_Mercado_share_lag4,RWA_Operacional_share_lag4,log_RWA_Total_lag4,Capital_Principal_lag4,Alavancagem_lag4,NPL_Volatility_8Q_lag4,PIB_lag4,Spread_lag4,Desemprego_lag4,RWA_Operacional_share_lag4_x_Alavancagem_lag4,Prob_Estresse
RANDON - PRUDENCIAL,2023-12-01,2368311.0,0.0,572486.0,0.1479,0.1747,185.03,1.083587763199989,30.41333333333333,,7.5,0.0068472568786182,0.0028061746854236586,2940797.0,0.8053296436306212,0.0,0.19467035636937877,14.894191191012409,0,0.7934640285546191,0.0,0.2065359714453809,14.654194712388561,0.1448,0.1678,0.002651945418453663,180.33,29.036666666666665,8.1,0.034656736008534916,0.48437580184893664
RANDON - PRUDENCIAL,2024-03-01,2582624.0,0.0,643194.0,0.1508,0.1841,186.65,1.415491577599992,29.896666666666665,,7.766666666666667,0.0059977856359591,0.0022968170573204596,3225818.0,0.8006105738141458,0.0,0.19938942618585426,14.98669711946081,0,0.8019595038990928,0.0,0.1980404961009073,14.753895798570687,0.1691,0.1961,0.0028768858656557624,182.74,30.19,8.6,0.03883574128538792,0.4817892893736295
RANDON - PRUDENCIAL,2024-06-01,2571086.0,0.0,643194.0,0.1624,0.2011,189.49,1.053515670799987,29.07333333333333,,7.166666666666667,0.0134501920012179,0.0027669494951898794,3214280.0,0.7998948442575009,0.0,0.2001051557424991,14.983113940339978,0,0.8058050315696021,0.0,0.19419496843039782,14.773504687808515,0.1639,0.195,0.00299508222556125,184.28,32.02333333333333,8.266666666666667,0.03786801884392758,0.48626444196680013
RANDON - PRUDENCIAL,2024-09-01,2788709.0,0.0,724502.0,0.1499,0.1885,190.99,0.8015076655999875,28.473333333333333,,6.6000000000000005,0.015911774081924,0.003594532860235249,3513211.0,0.7937778288864518,0.0,0.20622217111354826,15.072040992068814,0,0.79294670625309,0.0,0.20705329374690995,14.83252262110183,0.1578999999999999,0.1901,0.0030912576707438763,184.44,31.51333333333333,7.8,0.03936083114128758,0.49198536988386743
RANDON - PRUDENCIAL,2024-12-01,3048606.0,0.0,724502.0,0.1409,0.1644999999999999,191.11,1.47713535680003,27.96,,6.166666666666667,0.0151643978072264,0.0038792045779207254,3773108.0,0.8079827028539867,0.0,0.19201729714601332,15.143409622973564,0,0.8053296436306212,0.0,0.19467035636937877,14.894191191012409,0.1479,0.1747,0.0028061746854236586,185.03,30.41333333333333,7.5,0.03400891125773047,0.48444654670278553
RECARGAPAY IP - PRUDENCIAL,2024-09-01,275274.0,0.0,227035.0,0.0,0.0,190.99,0.8015076655999875,28.473333333333333,,6.6000000000000005,0.3722661593612782,0.06995370608056427,502309.0,0.5480172563103588,0.0,0.45198274368964125,13.126970747156754,1,0.48153627736680865,0.0,0.5184637226331914,13.057088585285788,0.0,0.0,0.02114365614322654,184.44,31.51333333333333,7.8,0.0,0.6162845777523096
RECARGAPAY IP - PRUDENCIAL,2024-12-01,288789.0,0.0,227035.0,0.0,0.0,191.11,1.47713535680003,27.96,,6.166666666666667,0.3430060180393022,0.06273527024988342,515824.0,0.5598595645026211,0.0,0.44014043549737897,13.15352090100957,1,0.5136940079578837,0.0,0.48630599204211633,13.121120605483112,0.0,0.0,0.02114365614322654,185.03,30.41333333333333,7.5,0.0,0.6050782590030989
RENDIMENTO - PRUDENCIAL,2017-03-01,946109.0,50652.0,520426.0,0.1552,0.1435,164.34,0.9630321349999972,41.17333333333333,,13.3,0.0299568601513205,0.011178321034650057,1517187.0,0.6235941910918035,0.03338546929284261,0.34302033961535394,14.23236852034467,0,0.5668879535714356,0.05682748289399071,0.3762845635345736,14.228488044033675,0.1434,0.1421,0.02114365614322654,163.26,35.07,10.3,0.053470036478262914,0.5688004029819751
RENDIMENTO - PRUDENCIAL,2017-06-01,1064124.0,46249.0,520426.0,0.1465,0.1239,165.65,0.2193980018000196,36.63666666666666,,13.4,0.0305134541959788,0.011345968227592575,1630799.0,0.6525169564121636,0.028359718150428103,0.3191233254374083,14.30458063673107,0,0.5532464009653612,0.12934813003129497,0.3174054690033438,14.398653680514192,0.122,0.1156,0.02114365614322654,163.72,38.303333333333335,11.333333333333334,0.036692072216786546,0.5447476155002664
RENDIMENTO - PRUDENCIAL,2017-09-01,1143487.0,98096.0,527645.0,0.1461,0.1288,166.12,0.5911447296000016,36.16333333333333,,12.7,0.0231023580820551,0.012467067024606086,1769228.0,0.6463197507613491,0.05544565200189009,0.2982345972367609,14.386053851213271,0,0.6262501847215318,0.024190212622437673,0.3495596026560305,14.162138903416258,0.1594,0.1439,0.02114365614322654,162.92,39.71333333333333,11.833333333333334,0.05030162682220279,0.5588468531019702
RENDIMENTO - PRUDENCIAL,2017-12-01,1452029.0,271568.0,527645.0,0.1169999999999999,0.108,167.13,1.144261174399985,33.526666666666664,,12.1,0.0234160430354757,0.012765454498148567,2251242.0,0.6449901876386457,0.12063030096275745,0.23437951139859686,14.626992621884645,0,0.6275446079392206,0.06286035631243123,0.3095950357483482,14.283547880295021,0.1438,0.131,0.009405633147532714,162.73,40.38,12.0,0.04055694968303361,0.5313377313275092
RENDIMENTO - PRUDENCIAL,2018-03-01,1184044.0,103743.0,531976.0,0.1462,0.1217999999999999,167.98,0.7014778351999817,33.15,,12.733333333333334,0.0371085167718836,0.012560365074061337,1819763.0,0.6506583549616076,0.0570090720604826,0.29233257297790977,14.414216830793427,0,0.6235941910918035,0.03338546929284261,0.34302033961535394,14.23236852034467,0.1552,0.1435,0.011178321034650057,164.34,41.17333333333333,13.3,0.049223418734803286,0.5387708998840361
RENDIMENTO - PRUDENCIAL,2018-06-01,1297930.0,53023.0,531976.0,0.1433,0.0895,167.89,1.8887030879999989,30.82333333333333,,12.8,0.0363618911648108,0.008441148535392969,1882929.0,0.6893143607645322,0.02815985095561224,0.28252578827985547,14.448339101139773,0,0.6525169564121636,0.028359718150428103,0.3191233254374083,14.30458063673107,0.1465,0.1239,0.011345968227592575,165.65,36.63666666666666,13.4,0.03953938002169489,0.5160483058428028
RENDIMENTO - PRUDENCIAL,2018-09-01,1382611.0,65010.0,542932.0,0.139,0.099,169.35,0.7208535743999933,28.546666666666667,,12.2,0.030990728940178,0.005737439040652225,1990553.0,0.6945863787600732,0.03265926604315484,0.27275435519677194,14.50392304754379,0,0.6463197507613491,0.05544565200189009,0.2982345972367609,14.386053851213271,0.1461,0.1288,0.012467067024606086,166.12,36.16333333333333,12.7,0.0384126161240948,0.5140354903862346
RENDIMENTO - PRUDENCIAL,2018-12-01,1437999.0,47162.0,542932.0,0.1421,0.1054,169.09,0.3894135824999978,28.71666666666667,,11.733333333333334,0.0144541204676882,0.007559429172819462,2028093.0,0.7090399700605445,0.023254357665057766,0.2677056722743977,14.522606500629932,0,0.6449901876386457,0.12063030096275745,0.23437951139859686,14.626992621884645,0.1169999999999999,0.108,0.012765454498148567,167.13,33.526666666666664,12.1,0.02531298723104846,0.4864070597468226
RENDIMENTO - PRUDENCIAL,2019-03-01,1496153.0,53866.0,380548.0,0.1522,0.1045,169.51,1.507011320000018,30.386666666666667,,12.5,0.0178179242312373,0.00834282396146382,1930567.0,0.7749811324859485,0.027901647547067778,0.19711721996698378,14.473324300118893,0,0.6506583549616076,0.0570090720604826,0.29233257297790977,14.414216830793427,0.1462,0.1217999999999999,0.012560365074061337,167.98,33.15,12.733333333333334,0.03560610738870938,0.5041392198618581
RENDIMENTO - PRUDENCIAL,2019-06-01,1617081.0,68821.0,380548.0,0.146,0.1073,170.58,0.710811074100004,30.69666666666667,,12.366666666666667,0.0154352896474655,0.009037805363818591,2066450.0,0.7825405889327107,0.03330397541677756,0.18415543565051173,14.541342717141571,0,0.6893143607645322,0.02815985095561224,0.28252578827985547,14.448339101139773,0.1433,0.0895,0.008441148535392969,167.89,30.82333333333333,12.8,0.025286058051047063,0.4862331565168244
RENDIMENTO - PRUDENCIAL,2019-09-01,1631406.0,54403.0,400785.0,0.1502,0.1086999999999999,170.5,0.2600889164000142,30.59,,11.9,0.0267985364378102,0.00903100089954159,2086594.0,0.7818511890669675,0.026072633200325507,0.192076177732707,14.551043629520642,0,0.6945863787600732,0.03265926604315484,0.27275435519677194,14.50392304754379,0.139,0.099,0.005737439040652225,169.35,28.546666666666667,12.2,0.027002681164480423,0.47942439799293796
RENDIMENTO - PRUDENCIAL,2019-12-01,1825120.0,75131.0,400785.0,0.1416,0.1109,171.91,1.767530865000011,29.096666666666664,,11.366666666666667,0.0099849231203278,0.010551295397215256,2301036.0,0.7931731620018113,0.03265094505257632,0.17417589294561234,14.648870014266693,0,0.7090399700605445,0.023254357665057766,0.2677056722743977,14.522606500629932,0.1421,0.1054,0.007559429172819462,169.09,28.71666666666667,11.733333333333334,0.028216177857721514,0.48309824856862565
RENDIMENTO - PRUDENCIAL,2020-03-01,1646385.0,72317.0,413556.0,0.1487,0.1148,168.09,0.5308473674999981,28.24,,11.8,0.0114803345038803,0.009729102659553112,2132258.0,0.7721321716227586,0.033915689377176685,0.19395213900006472,14.572692070079581,0,0.7749811324859485,0.027901647547067778,0.19711721996698378,14.473324300118893,0.1522,0.1045,0.00834282396146382,169.51,30.386666666666667,12.5,0.020598749486549803,0.45835236728792206
RENDIMENTO - PRUDENCIAL,2020-06-01,1548393.0,44946.0,413556.0,0.1564,0.1066,153.27,-0.4306129372000034,24.44333333333333,,13.133333333333333,0.0062533184341929,0.008413852552976215,2006895.0,0.7715366274767739,0.02239579051220916,0.20606758201101702,14.512099309519018,0,0.7825405889327107,0.03330397541677756,0.18415543565051173,14.541342717141571,0.146,0.1073,0.009037805363818591,170.58,30.69666666666667,12.366666666666667,0.01975987824529991,0.4552530649995617
RENDIMENTO - PRUDENCIAL,2020-09-01,1731846.0,43049.0,493974.0,0.1416,0.0939,165.34,1.2447095295999857,21.71666666666667,,14.6,0.0091929939595759,0.0063940919066080544,2268869.0,0.763308062298881,0.018973770631975667,0.21771816706914326,14.634792027410384,0,0.7818511890669675,0.026072633200325507,0.192076177732707,14.551043629520642,0.1502,0.1086999999999999,0.00903100089954159,170.5,30.59,11.9,0.02087868051954523,0.4609105827153175
RENDIMENTO - PRUDENCIAL,2020-12-01,1725491.0,26462.0,493974.0,0.1501,0.1001,171.47,3.131382328999988,20.72,,14.366666666666667,0.0246008358492964,0.007435154537153666,2245927.0,0.7682756385225343,0.011782217320509526,0.21994214415695612,14.624628911526138,0,0.7931731620018113,0.03265094505257632,0.17417589294561234,14.648870014266693,0.1416,0.1109,0.010551295397215256,171.91,29.096666666666664,11.366666666666667,0.01931610652766841,0.45522593202570893
RENDIMENTO - PRUDENCIAL,2021-03-01,1772532.0,39815.0,540841.0,0.1429,0.1,173.12,2.052492994999988,22.403333333333336,,14.633333333333333,0.0119107953642953,0.0074308362906860955,2353188.0,0.7532470843808484,0.016919600133945948,0.2298333154852056,14.671281562520374,0,0.7721321716227586,0.033915689377176685,0.19395213900006472,14.572692070079581,0.1487,0.1148,0.009729102659553112,168.09,28.24,11.8,0.02226570555720743,0.4582367210993046
RENDIMENTO - PRUDENCIAL,2021-06-01,1771769.0,33761.0,540841.0,0.1495,0.1054,172.06,1.6786286369000036,21.46333333333333,,14.566666666666668,0.0459546909348778,0.013422963848282374,2346371.0,0.7551103384758847,0.014388602654908367,0.23050105886920697,14.668380437209983,0,0.7715366274767739,0.02239579051220916,0.20606758201101702,14.512099309519018,0.1564,0.1066,0.008413852552976215,153.27,24.44333333333333,13.133333333333333,0.021966804242374415,0.4438984635626513
RENDIMENTO - PRUDENCIAL,2021-09-01,1682197.0,36985.0,624074.0,0.1457,0.0998,172.27,3.0196768831999954,21.08666666666667,,13.199999999999998,0.0869932409210234,0.027923894231852486,2343256.0,0.7178886984606035,0.01578359342726531,0.26632770811213113,14.667051973151704,0,0.763308062298881,0.018973770631975667,0.21771816706914326,14.634792027410384,0.1416,0.0939,0.0063940919066080544,165.34,21.71666666666667,14.6,0.020443735887792552,0.4262984932023788
RENDIMENTO - PRUDENCIAL,2021-12-01,1785539.0,41360.0,624074.0,0.1386,0.0975,174.3,2.958021687500012,22.62,,11.6,0.0199101139925041,0.0273353228694674,2450973.0,0.7285021091623612,0.016874930894791577,0.25462295994284717,14.711995646537702,0,0.7682756385225343,0.011782217320509526,0.21994214415695612,14.624628911526138,0.1501,0.1001,0.007435154537153666,171.47,20.72,14.366666666666667,0.022016208630111306,0.42806088978782847
RENDIMENTO - PRUDENCIAL,2022-03-01,1541918.0,25326.0,676523.0,0.1515,0.1024,175.72,3.2006523548000043,24.72,,11.166666666666666,0.024282103425909,0.02666091856381924,2243767.0,0.6872005872267486,0.011287268241310261,0.30151214453194114,14.623666707791696,0,0.7532470843808484,0.016919600133945948,0.2298333154852056,14.671281562520374,0.1429,0.1,0.0074308362906860955,173.12,22.403333333333336,14.633333333333333,0.02298333154852056,0.4325039330731911
RENDIMENTO - PRUDENCIAL,2022-06-01,1776411.0,41478.0,676523.0,0.1444,0.107,177.81,2.215266379399994,25.546666666666667,,9.866666666666667,0.0183142310845178,0.02553141732971525,2494412.0,0.712156211564088,0.01662836772754461,0.27121542070836735,14.729563588050215,0,0.7551103384758847,0.014388602654908367,0.23050105886920697,14.668380437209983,0.1495,0.1054,0.013422963848282374,172.06,21.46333333333333,14.566666666666668,0.024294811604814413,0.4375700165500157
RENDIMENTO - PRUDENCIAL,2022-09-01,1969144.0,71572.0,749109.0,0.1333,0.093,179.54,-1.3245430992000151,27.44,,8.9,0.0057500315124831,0.025960459553650478,2789825.0,0.7058306524602798,0.02565465575797765,0.2685146917817426,14.841489427815977,0,0.7178886984606035,0.01578359342726531,0.26632770811213113,14.667051973151704,0.1457,0.0998,0.027923894231852486,172.27,21.08666666666667,13.199999999999998,0.026579505269590686,0.47263769979375486
RENDIMENTO - PRUDENCIAL,2022-12-01,1824996.0,36637.0,749109.0,0.1381,0.0864,180.33,1.6286339977999995,29.036666666666665,,8.1,0.0070247320685804,0.02717057097747732,2610742.0,0.699033454856895,0.014033175242900294,0.2869333699002046,14.775145030083534,0,0.7285021091623612,0.016874930894791577,0.25462295994284717,14.711995646537702,0.1386,0.0975,0.0273353228694674,174.3,22.62,11.6,0.0248257385944276,0.48156359683040767
RENDIMENTO - PRUDENCIAL,2023-03-01,1527961.0,28191.0,821020.0,0.1626999999999999,0.0977,182.74,2.094210609200031,30.19,,8.6,0.0082539670552438,0.027499408715653033,2377172.0,0.64276417524689,0.01185904932415492,0.34537677542895506,14.681422103842259,0,0.6872005872267486,0.011287268241310261,0.30151214453194114,14.623666707791696,0.1515,0.1024,0.02666091856381924,175.72,24.72,11.166666666666666,0.030874843600070773,0.5071487664019171
RENDIMENTO - PRUDENCIAL,2023-06-01,1582590.0,28320.0,821020.0,0.1595,0.1,184.28,0.760729877599986,32.02333333333333,,8.266666666666667,0.0157455755807911,0.026593444079805965,2431930.0,0.6507547503423207,0.011645072020987446,0.33760017763669187,14.704195738759223,0,0.712156211564088,0.01662836772754461,0.27121542070836735,14.729563588050215,0.1444,0.107,0.02553141732971525,177.81,25.546666666666667,9.866666666666667,0.029020050015795305,0.505150048850693
