Instituicao,Score_Log_Odds_Robustez
GRAZZIOTIN FINANCIADORA SA CFI - PRUDENCIAL,2.8364334424286994
HONDA - PRUDENCIAL,2.8147318142675397
RANDON - PRUDENCIAL,2.7704169803892995
YAMAHA MOTOR - PRUDENCIAL,2.7648709901074824
BANCO LETSBANK - PRUDENCIAL,2.72238637541079
BCO KDB BRASIL S.A. - PRUDENCIAL,2.722045746951524
RODOBENS - PRUDENCIAL,2.7106672066415554
SENFFNET IP - PRUDENCIAL,2.5874421905709677
BCO CATERPILLAR S.A. - PRUDENCIAL,2.338311412497491
BANCO C6,2.335890079724176
BR PARTNERS - PRUDENCIAL,2.178994005657552
ANDBANK - PRUDENCIAL,2.1734211976135387
CREFISA S.A. CFI - PRUDENCIAL,0.9751864284627024
BCO INBURSA INV S.A. - PRUDENCIAL,0.2542486041426922
